proposition,satisfiable_brute,satisfiable,correct,satisfiable_2nd,correct_2nd
¬(¬(0∨¬3)∨(2∧¬(¬4∨(1∧¬1)))),True,True,True,,
¬((¬3∨¬4)∧¬(0∧¬(4∨¬(¬0∧¬0)))),True,True,True,,
¬((¬3∧¬3)∨((¬1∨¬4)∨¬(0∧¬0))),False,False,True,,
¬(¬(1∧¬(2∧¬2))∨¬(2∨¬(¬1∨2))),True,True,True,,
¬((¬2∨¬(¬3∧¬4))∧(¬4∨¬(1∨3))),True,True,True,,
(4∧¬((0∨¬(0∨0))∨(¬2∧1))),False,False,True,,
(2∧¬((1∨¬(¬1∨¬2))∨¬(2∨2))),True,True,True,,
((¬(3∨¬0)∧(¬4∧¬3))∧(2∧¬1)),True,True,True,,
((¬1∨¬1)∧¬(¬1∧¬(¬0∨(¬4∨4)))),True,True,True,,
(((¬1∧¬2)∧¬(¬0∨¬1))∨¬(4∨1)),True,True,True,,
((1∧¬(4∧¬2))∧¬(1∧(¬2∧4))),True,True,True,,
¬(¬1∧¬(¬(3∨¬2)∨¬(¬2∧(1∧¬0)))),True,True,True,,
(¬(¬2∨(3∨(1∨1)))∨¬(¬3∧¬4)),True,True,True,,
¬(¬3∨(¬(¬2∧¬0)∧¬(¬4∨(¬1∧¬0)))),True,True,True,,
(¬2∧((1∨1)∨(¬3∧(¬4∨4)))),True,True,True,,
¬(((¬2∨¬3)∨¬(2∧¬1))∨(¬2∧3)),True,True,True,,
¬((3∧3)∧¬(0∨¬(2∧(¬3∧¬1)))),True,True,True,,
¬(3∨(¬1∨(¬0∧¬(¬3∧(1∨1))))),True,True,True,,
